"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.282340250E0,6.351157933E-1,-4.122871757E-1,-3.644195294E-1,8.403299231E-1
2.292373250E0,7.833745775E-1,-3.306232077E-1,-4.504788494E-1,9.622466564E-1
2.302407250E0,8.092704338E-1,-2.607086349E-1,-5.783481002E-1,1.028286999E0
2.312441250E0,7.566098249E-1,-2.248745584E-1,-7.229994446E-1,1.070399547E0
2.322475250E0,7.001973501E-1,-2.015353972E-1,-8.351899713E-1,1.108347930E0
2.332508250E0,5.627404198E-1,-2.018733662E-1,-8.232803625E-1,1.017457710E0
2.342542250E0,4.496593621E-1,-2.983015537E-1,-6.026736867E-1,8.089455678E-1
2.352576250E0,4.173438478E-1,-4.959842205E-1,-2.741186392E-1,7.037877966E-1
2.362610250E0,4.239985639E-1,-6.216870779E-1,-8.230891585E-2,7.569969370E-1
2.372643250E0,3.956096010E-1,-6.555564898E-1,-8.186686635E-2,7.700412012E-1
2.382677250E0,3.863416180E-1,-5.966276658E-1,-1.125711805E-1,7.196503929E-1
2.392711250E0,3.263825145E-1,-5.682873809E-1,-1.526023883E-1,6.728770928E-1
2.402745250E0,2.937340012E-1,-5.854436964E-1,-2.034901214E-1,6.858806125E-1
2.412779250E0,2.621689770E-1,-5.753525716E-1,-2.318233895E-1,6.734279754E-1
2.422812250E0,2.063334762E-1,-5.956067419E-1,-2.945242524E-1,6.957481079E-1
2.432846250E0,1.819956104E-1,-6.368161637E-1,-3.621806306E-1,7.548721996E-1
2.442880250E0,1.579391420E-1,-6.808725947E-1,-3.915383309E-1,8.011457591E-1
2.452914250E0,1.263330410E-1,-7.119569778E-1,-3.560194194E-1,8.059730781E-1
2.462947250E0,1.271057506E-1,-7.358972329E-1,-2.703834379E-1,7.942341045E-1
2.472981250E0,1.397415836E-1,-6.892194951E-1,-2.794448680E-1,7.567302404E-1
2.483015250E0,1.482209234E-1,-5.074517798E-1,-3.398167849E-1,6.284522243E-1
2.493049250E0,1.999380840E-1,-3.095054036E-1,-3.172395158E-1,4.862198502E-1
2.503083250E0,2.561597934E-1,-1.929318041E-1,-2.154453385E-1,3.863382128E-1
2.513116250E0,2.986671509E-1,-1.983738077E-1,-4.164854765E-2,3.609554489E-1
2.523150250E0,2.879838493E-1,-2.284051073E-1,9.559729815E-2,3.797926196E-1
2.533184250E0,2.751806398E-1,-2.413525969E-1,1.333182710E-1,3.895500249E-1
2.543218250E0,2.192333110E-1,-2.222193378E-1,8.472147703E-2,3.234538722E-1
2.553251250E0,1.473993896E-1,-1.845328635E-1,1.268787324E-2,2.365162571E-1
2.563285250E0,1.522544789E-1,-1.310881430E-1,-2.417367589E-1,3.143281537E-1
2.573319250E0,1.523307851E-1,-2.205979049E-2,-5.323147255E-1,5.541211686E-1
2.583353250E0,6.142090738E-2,1.207800865E-2,-7.160102677E-1,7.187413371E-1
2.593386250E0,3.852686539E-2,-3.028272986E-2,-8.420674664E-1,8.434921345E-1
2.603420250E0,6.070871651E-2,-1.853216529E-2,-8.369400430E-1,8.393435679E-1
2.613454250E0,4.728774861E-2,6.433340549E-2,-6.231939054E-1,6.282878018E-1
2.623488250E0,3.986017674E-2,3.020437717E-2,-3.536717623E-1,3.571902204E-1
2.633522250E0,5.209898382E-2,-8.359413385E-2,-7.683650672E-2,1.249245056E-1
2.643555250E0,-3.377351761E-3,-2.442569089E-1,1.598114204E-1,2.919118602E-1
2.653589250E0,-1.424573229E-1,-4.330635023E-1,3.138984168E-1,5.535072736E-1
2.663623250E0,-3.863772860E-1,-5.382262605E-1,2.766282642E-1,7.179819714E-1
2.673657250E0,-5.918788496E-1,-4.962876910E-1,1.163701165E-1,7.811299820E-1
2.683690250E0,-7.285243325E-1,-3.206724161E-1,-1.229143202E-1,8.054107223E-1
2.693724250E0,-8.237113023E-1,-1.287644595E-1,-3.808741790E-1,9.165946409E-1
2.703758250E0,-8.315946646E-1,8.857449979E-2,-5.914224744E-1,1.024292766E0
2.713792250E0,-8.223190802E-1,2.880364743E-1,-7.621167326E-1,1.157581787E0
2.723826250E0,-8.571149835E-1,3.598747811E-1,-8.626543432E-1,1.268198907E0
