"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.053155792E0,-3.544339761E0,-2.977899224E-1,-4.667141114E0,5.867983416E0
2.063144792E0,-4.570894191E0,1.198400881E0,1.932036996E-2,4.725421849E0
2.073134792E0,-1.393716888E0,2.097492149E0,-7.502584331E-1,2.627700096E0
2.083123792E0,1.289574907E0,2.438178415E0,-1.838257012E0,3.314650248E0
2.093113792E0,2.989535767E0,2.134770488E0,-2.400278517E0,4.388155204E0
2.103102792E0,3.822460527E0,1.955527015E0,-7.289336376E-1,4.355069992E0
2.113092792E0,4.082601398E0,2.064957656E0,2.299550872E0,5.120509594E0
2.123082792E0,2.751866332E0,1.611685007E0,5.235925509E0,6.130678005E0
2.133071792E0,-5.654634681E-1,5.762138665E-2,7.120918146E0,7.143566645E0
2.143061792E0,-3.522836041E0,-1.812728654E0,3.846422417E0,5.521894997E0
2.153050792E0,-5.381341084E0,-4.593100746E0,-2.819228010E0,7.615999797E0
2.163040792E0,-5.513973477E0,-7.256247860E0,-7.875732876E0,1.204509049E1
2.173029792E0,-2.994405913E0,-7.249665064E0,-5.728083311E0,9.712623165E0
2.183019792E0,-6.761369348E-2,-5.854394279E0,-3.409757030E-1,5.864705314E0
2.193008792E0,8.430044827E-1,-4.846644788E0,1.563350022E0,5.161849044E0
2.202998792E0,5.588211773E-1,-4.073560433E0,3.031523454E0,5.108454772E0
2.212987792E0,-2.900066936E-1,-2.040312812E0,1.755724441E-1,2.068285748E0
2.222977792E0,-7.405796832E-1,-4.765393049E-1,-8.619336739E-1,1.232265245E0
2.232966792E0,3.400383943E-1,1.022582123E1,4.613713351E-1,1.024187041E1
2.242956792E0,-1.493517457E0,9.439082460E0,-2.270757428E0,9.822586796E0
2.252946792E0,-3.254982986E0,4.026687983E0,-2.598142155E0,5.793053858E0
2.262935792E0,-1.478534113E0,3.194085989E0,2.594517758E-1,3.529244062E0
2.272925792E0,1.702239959E-1,-2.713581687E-1,5.470576027E-1,6.339428091E-1
2.282914792E0,1.432773364E0,-1.423081312E0,4.669106948E-1,2.072680760E0
2.292904792E0,1.500330194E0,-1.327544240E0,-5.255910122E-1,2.071137444E0
2.302893792E0,1.707742335E0,-1.114271727E0,-2.353517164E0,3.114005203E0
2.312883792E0,1.885034007E0,-9.896044117E-1,-3.377587404E0,3.992588981E0
2.322872792E0,1.415507560E0,-8.743669009E-1,-1.855902447E0,2.492499353E0
2.332862792E0,5.065147635E-1,-6.255164194E-1,-1.734260774E-1,8.233496225E-1
2.342851792E0,-1.204818785E-2,6.351959002E-1,2.518448406E-1,6.834067707E-1
2.352841792E0,-2.045655705E-1,2.563230477E0,-2.267152619E-1,2.581355721E0
2.362830792E0,-3.743098024E-1,4.793438634E0,-5.345121092E-1,4.837650768E0
2.372820792E0,-7.172093124E-1,5.360586392E0,1.182831208E0,5.536186895E0
2.382809792E0,-5.647387058E-1,4.487118793E0,1.541075785E0,4.777873946E0
2.392799792E0,3.685016169E-1,7.560321200E-1,5.572721037E-1,1.008925273E0
2.402789792E0,2.081043639E0,-1.838314900E0,-7.670620152E-1,2.880716653E0
2.412778792E0,1.856346397E0,-2.858154094E-1,-3.057824814E-1,1.902949111E0
2.422768792E0,7.884403127E-1,2.405766129E0,2.411450207E-2,2.531784016E0
2.432757792E0,-5.274064996E-1,3.292596370E0,-3.434458593E-1,3.352208754E0
2.442747792E0,-8.471011151E-1,3.510354282E0,-7.147352824E-1,3.681170196E0
2.452736792E0,-8.879033513E-1,3.368679171E0,-7.995760426E-1,3.574310222E0
