"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.230567667E0,3.077239324E0,7.207202584E0,-1.983809997E0,8.083852612E0
1.240555667E0,4.419160114E0,2.148014431E0,-2.573350838E0,5.546627502E0
1.250543667E0,3.879281430E0,-5.525899458E-1,-1.786685740E0,4.306556164E0
1.260531667E0,2.293353116E0,-1.093036979E0,-8.312401772E-1,2.673042944E0
1.270519667E0,2.301295096E0,-1.073030730E0,-1.161016781E0,2.792008960E0
1.280507667E0,2.974943456E0,-1.592127240E0,-2.244531496E0,4.052539864E0
1.290495667E0,3.220000556E0,-1.921530719E0,-3.387508374E0,5.053305539E0
1.300483667E0,3.501527910E0,-1.640811743E0,-3.700403994E0,5.352191196E0
1.310471667E0,3.474968103E0,-1.223652667E0,-3.275435377E0,4.929625348E0
1.320459667E0,3.107116842E0,-8.717420858E-1,-3.296184806E0,4.612910536E0
1.330447667E0,2.990291228E0,-7.499492615E-1,-3.628153458E0,4.761067426E0
1.340435667E0,3.281821413E0,-5.943700558E-1,-3.427186995E0,4.782179237E0
1.350423667E0,3.757677179E0,-1.301724690E-1,-2.774376943E0,4.672713352E0
1.360411667E0,4.191765698E0,5.578857690E-1,-2.516987772E0,4.921114065E0
1.370399667E0,4.343600639E0,1.314052375E0,-2.699106905E0,5.280035818E0
1.380387667E0,3.980673319E0,2.114922699E0,-2.719130110E0,5.264249866E0
1.390375667E0,2.887498346E0,2.744317576E0,-1.825795573E0,4.382060603E0
1.400363667E0,8.817373163E-1,2.724649297E0,-7.969389483E-2,2.864877939E0
1.410351667E0,-1.287069814E0,2.215865521E0,1.614729799E0,3.028854740E0
1.420339667E0,-3.980497903E0,1.732551048E0,2.703307545E0,5.114095068E0
1.430327667E0,-8.744928499E0,1.528567421E0,2.565462359E0,9.240773233E0
1.440315667E0,-1.380075977E1,1.246184328E0,2.330078454E0,1.405144872E1
1.450303667E0,-1.352070620E1,2.037259980E0,1.544902642E0,1.376032880E1
1.460291667E0,-6.916767290E0,4.110013145E0,2.479429936E-1,8.049556107E0
1.470279667E0,-3.067908922E0,5.706602980E0,-5.811040391E-1,6.505003046E0
1.480267667E0,-1.565055509E0,6.878980243E0,-1.369480032E0,7.186462516E0
1.490255667E0,-5.425618248E-1,7.843243992E0,-2.620206916E0,8.287118554E0
1.500243667E0,2.493505281E-1,7.924494562E0,-3.462467340E0,8.651501016E0
1.510231667E0,6.545995930E-1,7.588567929E0,-3.321137214E0,8.309321046E0
1.520219667E0,7.115006758E-1,8.762418691E0,-4.334389813E0,9.801691159E0
1.530207625E0,1.754596951E0,1.010467277E1,-5.399613633E0,1.159046374E1
1.540195625E0,1.444218997E0,1.034783742E1,-5.493930391E0,1.180452366E1
1.550183625E0,1.403072579E0,8.992657485E0,-3.134468655E0,9.626078903E0
1.560171625E0,1.379870973E0,5.384099801E0,1.130272633E0,5.671868369E0
1.570159625E0,-3.113963566E-1,2.744390666E-2,4.595292575E0,4.605913016E0
1.580147625E0,-4.481493772E0,-7.551994180E0,8.362546324E0,1.212635904E1
1.590135625E0,-8.339974317E0,-1.802487723E1,1.364499111E1,2.409641370E1
1.600124625E0,-1.091654405E0,-2.705612400E1,8.193048406E0,2.829048599E1
1.610111625E0,1.042926341E1,-2.083817850E1,5.398335432E0,2.391947416E1
1.620100625E0,7.863846656E0,-6.395643550E0,-2.533319338E0,1.044806430E1
1.630088625E0,3.650850595E0,3.570892845E0,-1.136697787E1,1.246146748E1
1.640076625E0,3.932913993E-1,3.584066037E0,1.028921207E1,1.090266447E1
1.650064625E0,-4.107382117E-1,-1.133851129E1,9.796910423E0,1.499033015E1
1.660052625E0,6.572935514E-1,-3.294036656E1,7.622949557E0,3.381729061E1
1.670040625E0,6.648796998E0,-4.027133190E1,3.758689039E0,4.098919879E1
1.680028625E0,6.565907453E0,-2.919415606E1,7.157310632E-1,2.993195884E1
1.690016625E0,3.921700349E0,-1.691375774E1,-2.193893147E0,1.750051718E1
1.700004625E0,2.879333002E0,-1.053011618E1,-2.936706174E0,1.130478432E1
1.709992625E0,3.233127848E0,-7.746818728E0,-2.997095048E0,8.913410953E0
1.719980625E0,4.322607965E0,-6.618873287E0,-2.721686513E0,8.360741635E0
1.729968625E0,5.076167298E0,-5.474205979E0,-1.882598203E0,7.699258505E0
1.739956625E0,4.205571559E0,-3.219461151E0,2.670739138E-1,5.303120847E0
1.749944625E0,9.975326514E-1,-8.402378726E-1,1.929519185E0,2.328973026E0
1.759932625E0,-3.069432707E0,1.477102568E0,4.118622000E0,5.344744738E0
1.769920625E0,-5.268112092E0,4.201009269E0,7.537133482E0,1.010988947E1
1.779908625E0,-5.987971582E0,4.574533498E0,1.190047783E1,1.408557890E1
1.789896625E0,-5.489353191E0,3.162252578E0,1.540512464E1,1.665685160E1
1.799884625E0,-4.394223493E0,-9.899622613E-1,1.196122338E1,1.278123978E1
1.809872625E0,-5.254157127E0,-4.832728999E0,8.424292336E0,1.104219806E1
1.819860625E0,-8.159212323E0,-2.306445909E0,2.711399506E0,8.901916970E0
1.829848625E0,-8.788039436E0,4.261388787E0,-4.573878025E0,1.078468505E1
1.839836625E0,-7.729905072E0,1.040279072E1,-6.812920740E0,1.464190480E1
1.849824625E0,-6.994368027E0,1.381029307E1,-6.424106627E0,1.676050490E1
1.859812625E0,-4.928636200E0,1.540407331E1,-7.638599630E0,1.788645112E1
1.869800625E0,-3.503666822E0,1.600806964E1,-6.629597080E0,1.767726032E1
1.879788625E0,-3.457068314E0,1.561917718E1,-5.632809364E0,1.695991033E1
1.889776625E0,-3.469506511E0,1.394070469E1,-4.126125147E0,1.494675989E1
1.899764625E0,-2.417960643E0,1.073625158E1,-3.003060377E0,1.140754151E1
1.909752625E0,1.114137241E-1,8.464191982E0,-2.202675957E0,8.746813151E0
1.919740625E0,2.894168557E0,7.923545558E0,-1.085825608E0,8.505163320E0
1.929728625E0,4.641358986E0,8.841978831E0,-5.492804217E-1,1.000122552E1
1.939716625E0,4.843712994E0,1.036405409E1,-1.467354675E0,1.153378960E1
1.949704625E0,3.911994263E0,1.117887996E1,-2.786736787E0,1.216704394E1
1.959692625E0,2.173484318E0,1.179210320E1,-3.071840006E0,1.237796158E1
1.969680625E0,2.273492463E-1,1.182739465E1,-2.395415534E0,1.206967139E1
1.979668625E0,-1.127621944E0,1.114836217E1,-1.238037256E0,1.127343101E1
1.989656625E0,-1.920739152E0,1.002862973E1,-5.244567986E-1,1.022436835E1
1.999644625E0,-2.241538599E0,9.176168840E0,-5.707497896E-1,9.463209032E0
2.009632625E0,-1.969756946E0,8.899938771E0,-9.419626142E-1,9.163849962E0
2.019620625E0,-1.863890036E0,8.796479892E0,-1.314919956E0,9.087417622E0
2.029609625E0,-2.109478064E0,8.597840620E0,-1.601856569E0,8.996594106E0
2.039597625E0,-2.493169724E0,8.475002899E0,-1.664599531E0,8.989575129E0
2.049585625E0,-2.821648465E0,8.474418762E0,-1.765711339E0,9.104680661E0
2.059573625E0,-3.066824556E0,8.337188703E0,-2.174201332E0,9.145560659E0
2.069561625E0,-3.338633253E0,8.064700853E0,-2.766848068E0,9.156490598E0
2.079549625E0,-3.465789143E0,7.935670930E0,-3.063635193E0,9.185446537E0
2.089537625E0,-3.778345917E0,7.971169376E0,-3.077386382E0,9.342684091E0
2.099525625E0,-4.252487278E0,8.001764932E0,-2.746031980E0,9.468504724E0
2.109513625E0,-4.900768078E0,7.908245149E0,-1.711611584E0,9.459782413E0
2.119501625E0,-5.419222856E0,7.802922177E0,-1.132026213E0,9.567395372E0
2.129489625E0,-5.132694086E0,6.695844864E0,1.299605075E0,8.536267356E0
2.139477625E0,-4.529236872E0,3.879406561E0,5.415457249E0,8.055492482E0
2.149465625E0,-3.939070380E0,-3.430374312E-1,1.464913462E0,4.216624431E0
2.159453625E0,-9.349042940E-1,-5.443438514E0,-5.627048103E0,7.884715546E0
2.169441625E0,4.991833491E0,-1.706135199E1,3.589828468E0,1.813546254E1
2.179429625E0,9.493584942E0,-3.363077772E1,1.844395887E1,3.951375689E1
2.189417625E0,8.986086384E0,-4.552356763E1,1.455129433E1,4.863008457E1
